t,v_cmd,v_meas
6.319965,1.190795,0.713595
6.339954,1.193647,0.713431
6.359974,1.196507,0.714015
6.380070,1.199389,0.716001
6.399949,1.202210,0.719149
6.419960,1.205068,0.722055
6.439961,1.207923,0.725553
6.459995,1.210788,0.729405
6.479959,1.213633,0.733422
6.499966,1.216489,0.736366
6.519957,1.219342,0.738938
6.539958,1.222197,0.741275
6.560157,1.225107,0.743015
6.579961,1.227908,0.744024
6.600026,1.230781,0.744632
6.619952,1.233615,0.745262
6.639968,1.236475,0.745199
6.659967,1.239329,0.744905
6.679959,1.242182,0.744400
6.699956,1.245036,0.744157
6.719957,1.247891,0.744561
6.739971,1.250750,0.745982
6.759958,1.253601,0.748339
6.779954,1.256455,0.750796
6.799987,1.259319,0.754068
6.819987,1.262174,0.758274
6.840001,1.265033,0.763191
6.859957,1.267875,0.769126
6.879951,1.270728,0.776460
6.899955,1.273584,0.784572
6.919953,1.276439,0.793055
6.939943,1.279291,0.801436
6.959955,1.282149,0.809617
6.979951,1.285003,0.815801
6.999958,1.287860,0.821428
7.019957,1.290714,0.826674
7.039951,1.293567,0.830962
7.059987,1.296432,0.833980
7.079953,1.299278,0.837026
7.099947,1.302131,0.840257
7.119958,1.304989,0.842717
7.140036,1.307865,0.844924
7.159947,1.310696,0.846935
7.179947,1.313551,0.848263
7.199944,1.316405,0.850809
7.219977,1.319269,0.855422
7.239954,1.322117,0.862123
7.259987,1.324981,0.870570
7.279944,1.327824,0.880182
7.299943,1.330679,0.890759
7.319954,1.333537,0.901925
7.340088,1.336429,0.912753
7.359945,1.339244,0.922923
7.379946,1.342099,0.932534
7.399942,1.344953,0.941014
7.419967,1.347815,0.948749
7.439949,1.350665,0.955728
7.459938,1.353517,0.961370
7.479983,1.356384,0.965380
7.499983,1.359239,0.968046
7.519965,1.362089,0.970406
7.540127,1.364989,0.972703
7.559943,1.367793,0.975049
7.579942,1.370647,0.976956
7.599963,1.373508,0.978758
7.619951,1.376360,0.980506
7.640215,1.379288,0.981521
7.659938,1.382067,0.982105
7.679937,1.384921,0.982165
7.699944,1.387778,0.981820
7.719940,1.390632,0.981616
7.739972,1.393496,0.981956
7.759939,1.396341,0.983396
7.779943,1.399197,0.986033
7.799939,1.402051,0.989011
7.819981,1.404918,0.992863
7.840044,1.407790,0.997321
7.859934,1.410615,1.001821
7.879979,1.413482,1.005408
7.899941,1.416326,1.008483
7.920034,1.419207,1.010874
7.940014,1.422056,1.014109
7.959935,1.424889,1.018151
7.979935,1.427744,1.022406
7.999932,1.430598,1.026405
8.019935,1.433454,1.030444
8.040791,1.436552,1.034453
8.059929,1.439172,1.038366
8.079969,1.442037,1.041503
8.099974,1.444894,1.043320
8.119966,1.447746,1.044759
8.139935,1.450593,1.045053
8.160701,1.453665,1.044185
8.179945,1.456313,1.042841
8.199966,1.459173,1.041662
8.219934,1.462020,1.041930
8.239895,1.464863,1.044496
8.260027,1.467755,1.048553
8.280377,1.470708,1.054882
8.300159,1.473503,1.058397
8.319930,1.476294,1.069387
8.339927,1.479148,1.075998
8.359936,1.482006,1.082228
8.380307,1.484965,1.087940
8.399921,1.487713,1.094524
8.419931,1.490571,1.099679
8.439927,1.493424,1.106155
8.459925,1.496279,1.111933
8.480322,1.499245,1.116436
8.499967,1.502002,1.120576
8.519965,1.504857,1.123264
8.539926,1.507700,1.124023
8.559931,1.510557,1.124072
8.581342,1.513817,1.123481
8.599922,1.516290,1.122901
8.619925,1.519146,1.123648
8.639923,1.522000,1.124531
8.659968,1.524867,1.126471
8.679929,1.527711,1.128856
8.699935,1.530568,1.131123
8.719929,1.533421,1.134045
8.739932,1.536277,1.137261
8.760190,1.539204,1.141510
8.779913,1.541982,1.146392
8.799941,1.544845,1.150420
8.819927,1.547696,1.154396
8.839923,1.550549,1.157749
8.860117,1.553459,1.160564
